symbol,side,sector,lev,entry_kst,exit_kst,entry_ts,exit_ts,hold_h,entry_hour_kst,n_entries,n_exits,taker_ratio,notional,margin,gross_pnl,fee,net_pnl,roe,liquidation,regime,btc_adx,btc_atr_pct,btc_move_pct,day
ETH/USDT:USDT,long,major,5,08-31 02:00,08-31 02:24,1788109235.755,1788110677.878,0.4005897221962611,2,3,1,1.0,1010.308,202.0616,-10.184,-0.7237555200000001,-10.907755519999998,-0.05398232776539431,False,trend_up,24.1,0.39,0.0,08-31
LINK/USDT:USDT,long,major,5,08-31 02:00,08-31 02:24,1788109241.701,1788110675.027,0.3981461111042235,2,11,25,1.0,1011.7830000000001,202.35660000000001,-10.371900000000009,-0.724749876,-11.09664987600001,-0.05483710378608856,False,trend_up,24.1,0.39,0.0,08-31
TURBO/USDT:USDT,short,meme,3,08-30 01:09,08-30 16:06,1788019758.401,1788073585.792,14.952053055564562,1,43,57,1.0,2304.5074,768.1691333333333,29.1267000022328,-1.6487597159999994,27.477940286232798,0.035770690455885885,False,trend_down,28.6,0.41,0.13,08-30
DOT/USDT:USDT,short,major,3,08-29 21:57,08-30 15:40,1788008238.824,1788072051.495,17.725741944445502,21,12,25,1.0,856.5155,285.50516666666664,-8.88289999999983,-0.6198890039999999,-9.50278900399983,-0.033284122718152204,False,trend_down,35.4,0.43,0.89,08-30
EDEN/USDT:USDT,short,alt,3,08-30 09:48,08-30 15:40,1788050910.549,1788072051.023,5.872353888882531,9,33,10,1.0,1849.58716,616.5290533333333,-12.60634999998388,-1.3362410412,-13.942591041183881,-0.02261465370658804,False,trend_down,21.5,0.33,0.14,08-30
SOL/USDT:USDT,short,major,3,08-30 13:48,08-30 14:00,1788065284.528,1788066038.962,0.20956499993801117,13,5,2,1.0,551.6636000000001,183.8878666666667,-1.1958,-0.39762827999999995,-1.59342828,-0.008665217063442284,False,chop,17.1,0.31,0.03,08-30
PENGU/USDT:USDT,short,meme,3,08-30 13:49,08-30 14:00,1788065371.334,1788066036.645,0.18480861107508342,13,17,20,1.0,1418.2695,472.7565,-2.8736999999579997,-1.0221885720000001,-3.895888571958,-0.00824079324548261,False,chop,17.1,0.31,0.03,08-30
HUMA/USDT:USDT,short,alt,3,08-29 22:31,08-30 04:01,1788010266.423,1788030096.207,5.508273333311081,22,21,22,1.0,2016.860999999999,672.2869999999997,-68.01499999992612,-1.4766253199999997,-69.49162531992611,-0.1033660108256238,False,trend_down,35.1,0.42,0.63,08-30
TRX/USDT:USDT,short,major,3,08-29 22:26,08-30 03:15,1788009994.257,1788027358.987,4.823536111116409,22,4,7,1.0,855.4435999999998,285.14786666666663,-1.0787,-0.6163077240000001,-1.695007724,-0.00594431143327275,False,trend_down,35.1,0.42,0.59,08-30
PEPE/USDT:USDT,short,meme,3,08-29 19:59,08-30 00:00,1788001196.806,1788015637.605,4.011333055562443,19,1,4,1.0,1984.8559999999998,661.6186666666666,-26.85,-1.43876232,-28.28876232,-0.042756898717085774,False,trend_down,35.5,0.47,0.29,08-30
